frame,seq,t_mono,x,y,contrast,moat,crowd
568,568,335.360465,599,556,186,67,4
569,569,335.400449,601,558,186,80,6
570,570,335.440306,605,561,185,57,3
571,571,335.480334,607,563,185,94,3
572,572,335.520442,606,566,185,75,3
573,573,335.560440,605,569,185,69,3
574,574,335.600430,608,574,163,102,3
575,575,335.640429,611,580,186,71,4
576,576,335.680376,612,581,186,91,3
577,577,335.720258,611,588,160,75,2
578,578,335.760330,612,594,113,16,2
579,579,335.800162,614,597,127,29,1
580,580,335.840371,615,600,185,70,2
581,581,335.880293,614,602,137,43,2
582,582,335.920212,613,605,155,73,2
583,583,335.960130,613,606,115,37,3
584,584,336.000105,614,607,183,110,5
585,585,336.040063,613,608,175,128,4
586,586,336.080090,611,609,154,109,3
587,587,336.120192,610,610,157,96,4
588,588,336.160223,610,611,169,123,3
589,589,336.200091,609,612,186,115,3
590,590,336.240067,607,612,185,131,3
591,591,336.280011,605,614,156,76,2
592,592,336.320088,605,616,169,86,3
593,593,336.360151,607,616,186,91,3
594,594,336.399945,607,615,144,16,2
595,595,336.439935,605,616,155,62,3
596,596,336.479973,606,620,136,42,4
597,597,336.519981,606,620,166,81,3
598,598,336.559854,607,620,186,105,4
599,599,336.599974,606,621,129,41,2
600,600,336.639969,608,626,108,10,3
601,601,336.679913,612,624,105,25,3
602,602,336.719904,615,624,135,47,3
603,603,336.759982,617,623,169,70,3
604,604,336.799976,617,622,166,23,3
605,605,336.839904,620,622,90,5,3
606,606,336.879751,624,621,165,83,4
607,607,336.919623,625,620,148,60,3
608,608,336.959743,623,618,132,47,3
609,609,336.999632,623,618,127,5,5
610,610,337.039622,625,616,168,78,3
611,611,337.079758,626,615,169,111,3
611,611,337.079758,423,0,61,28,20
612,612,337.119929,625,613,133,77,2
613,613,337.159755,621,611,138,78,2
614,614,337.199950,619,611,168,93,2
615,615,337.239808,620,612,147,93,3
616,616,337.279783,621,616,187,93,3
617,617,337.319935,619,619,110,41,3
618,618,337.359825,618,625,139,63,1
619,619,337.399784,618,636,99,44,4
620,620,337.439544,619,650,59,19,3
621,621,337.479583,619,664,59,7,3
622,622,337.519670,618,676,75,40,2
623,623,337.559571,615,690,64,5,3
624,624,337.599537,615,702,74,2,2
625,625,337.639485,615,712,89,27,2
626,626,337.679567,612,720,97,55,2
627,627,337.719553,607,724,76,15,4
628,628,337.759543,605,727,169,114,3
629,629,337.799514,607,729,126,83,3
630,630,337.839465,609,730,146,93,3
631,631,337.879346,604,731,96,67,4
632,632,337.919454,599,729,98,59,4
633,633,337.959326,596,726,107,59,2
634,634,337.999551,595,726,88,5,2
636,636,338.079433,588,701,76,5,2
637,637,338.119564,584,690,63,16,2
639,639,338.199326,581,657,57,8,2
640,640,338.239309,579,629,53,18,2
642,642,338.319363,571,585,76,22,1
644,644,338.399200,570,541,59,8,2
645,645,338.439217,572,523,63,7,3
646,646,338.479212,574,507,99,57,2
647,647,338.519237,578,495,56,11,4
648,648,338.559197,583,487,100,65,2
649,649,338.599207,589,480,100,47,4
650,650,338.639335,592,476,88,18,2
651,651,338.679103,594,472,122,72,2
652,652,338.719348,594,467,140,96,2
653,653,338.759215,597,464,141,88,3
654,654,338.798975,601,464,144,70,3
655,655,338.839064,601,465,186,121,3
656,656,338.879106,600,464,129,77,5
657,657,338.918981,599,464,186,140,3
